Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Nepal	9544938	9710150	9881783	10060686	10247834	10443932	10649467	10864396	11088215	11320100	11559455	11806296	12060891	12323203	12593223	12871016	13156441	13449680	13751522	14063010	14384864	14718228	15062998	15417207	15778051	16143975	16513244	16887696	17273606	17679536	18111200	18569445	19050879	19551500	20065413	20587157	21115271	21647305	22175431	22690158	23184177	23655119	24102862	24525527	24921910	25292058	25634043	25950022	26249412	26544943	26846016	27156367	27474377	27797457
Netherlands	11486631	11638712	11805689	11965966	12127120	12294732	12456251	12598201	12729721	12877984	13038526	13194497	13328593	13439322	13545056	13666335	13774037	13856185	13941700	14038270	14149800	14247208	14312690	14367070	14424211	14491632	14572278	14665037	14760094	14848907	14951510	15069798	15184166	15290368	15382838	15459006	15530498	15610650	15707209	15812088	15925513	16046180	16148929	16225302	16281779	16319868	16346101	16381696	16445593	16530388	16615394	16693074	16754962	16804224
New Zealand	2371800	2419700	2482000	2531800	2585400	2628400	2675900	2724100	2748100	2772800	2810700	2853000	2903900	2961300	3023700	3083100	3110500	3120200	3121200	3109000	3112900	3124900	3156100	3199300	3227100	3247100	3246300	3274400	3283400	3299200	3329800	3495100	3531700	3572200	3620000	3673400	3732000	3781300	3815000	3835100	3857700	3880500	3948500	4027200	4087500	4133900	4184600	4228300	4268900	4315800	4367800	4405200	4433000	4470800
Nigeria	45211614	46144154	47117859	48128461	49169820	50238570	51336376	52468594	53640549	54859202	56131845	57453735	58829321	60285455	61857025	63565601	65426979	67425439	69512236	71619219	73698099	75729574	77729805	79729313	81775217	83901572	86118046	88412920	90773617	93179760	95617350	98085373	100592242	103144749	105752796	108424827	111166210	113979481	116867371	119831888	122876727	126004992	129224641	132550146	135999250	139585891	143314909	147187353	151208080	155381020	159707780	164192925	168833776	173615345
Norway	3581239	3609800	3638918	3666537	3694339	3723168	3753012	3784539	3816486	3847707	3875763	3903039	3933004	3960612	3985258	4007313	4026152	4043205	4058671	4072517	4085620	4099702	4114787	4128432	4140099	4152516	4167354	4186905	4209488	4226901	4241473	4261732	4286401	4311991	4336613	4359184	4381336	4405157	4431464	4461913	4490967	4513751	4538159	4564855	4591910	4623291	4660677	4709153	4768212	4828726	4889252	4953088	5018573	5084190
Pakistan	45540594	46673627	47864343	49109360	50404401	51746670	53138320	54581657	56074840	57615471	59204212	60840513	62532284	64299241	66167072	68155252	70268556	72505126	74868889	77362155	79984297	82733080	85601555	88577077	91643160	94783463	97998462	101278129	104583470	107865403	111090879	114229172	117291344	120336722	123450933	126689577	130083700	133597492	137139290	140580398	143832014	146857081	149693684	152419974	155151394	157971415	160905794	163928329	167008083	170093999	173149306	176166353	179160111	182142594
Peru	9931518	10218174	10517047	10826459	11144018	11468043	11797803	12133895	12477560	12830677	13194548	13569097	13953601	14347881	14751618	15164288	15585924	16015737	16451352	16889710	17328542	17766418	18203502	18641054	19081183	19525200	19973258	20424055	20875714	21325690	21772035	22213359	22649612	23081735	23511358	23939261	24365985	24789855	25206817	25611482	26000080	26372358	26729909	27073334	27403845	27723281	28030688	28328410	28625628	28934303	29262830	29614887	29987800	30375603
Philippines	26271731	27163317	28079991	29015642	29961902	30913136	31866972	32826235	33796910	34787692	35805060	36851591	37926125	39026975	40150999	41296295	42462461	43651688	44867695	46115445	47398432	48716422	50067906	51453251	52872611	54324952	55811616	57329415	58867229	60410438	61948688	63476449	64996507	66517085	68050807	69606539	71184718	72780928	74393147	76018006	77651848	79297756	80953652	82604681	84231329	85821214	87366573	88875548	90371287	91886400	93444322	95053437	96706764	98393574
Poland	29637450	29964000	30308500	30712000	31139450	31444950	31681000	31987155	32294655	32548300	32664300	32783500	33055650	33357200	33678899	34015199	34356300	34689050	34965600	35247217	35574150	35898587	36230481	36571808	36904134	37201885	37456119	37668045	37824487	37961529	38110782	38246193	38363667	38461408	38542652	38594998	38624370	38649660	38663481	38660271	38258629	38248076	38230364	38204570	38182222	38165445	38141267	38120560	38125759	38151603	38183683	38534157	38535873	38530725
Portugal	8857716	8929316	8993985	9030355	9035365	8998595	8930990	8874520	8836650	8757705	8680431	8643756	8630430	8633100	8754365	9093470	9355810	9455675	9558250	9661265	9766312	9851362	9911771	9957865	9996232	10023613	10032734	10030031	10019610	10005000	9983218	9960235	9952494	9964675	9991525	10026176	10063945	10108977	10160196	10217828	10289898	10362722	10419631	10458821	10483861	10503330	10522288	10542964	10558177	10568247	10573100	10557560	10514844	10459806
Romania	18406905	18555250	18676550	18797850	18919126	19031576	19215450	19534242	19799831	20009141	20250398	20461567	20657957	20835681	21029429	21293583	21551634	21756096	21951464	22090488	22242653	22415169	22515389	22588790	22655940	22755427	22859269	22949430	23057662	23161458	23201835	23001155	22794284	22763280	22730211	22684270	22619004	22553978	22507344	22472040	22442971	22131970	21730496	21574326	21451748	21319685	21193760	20882982	20537875	20367487	20246871	20147528	20076727	19963581
Russia	119897000	121236000	122591000	123960000	125345000	126745000	127468000	128196000	128928000	129664000	130404000	131155000	131909000	132669000	133432000	134200000	135147000	136100000	137060000	138027000	139010000	139941000	140823000	141668000	142745000	143858000	144894000	145908000	146857000	147721000	148292000	148624000	148689000	148520000	148336000	148141000	148160126	147915373	147670780	147214777	146596870	145976473	145408033	144667468	143821212	143113885	142487260	142114903	141956409	141909244	142385523	142956460	143178000	143499861
Saudi Arabia	4072110	4202984	4345738	4498390	4657855	4822502	4992625	5171093	5362099	5571166	5802967	6059524	6342159	6654009	6998359	7377881	7790588	8236583	8722480	9256774	9843265	10484746	11172632	11885086	12592829	13273786	13918323	14528398	15107785	15665086	16206078	16739895	17263613	17758096	18197011	18567343	18848350	19060850	19282965	19620692	20144584	20891594	21825217	22852333	23839231	24690067	25371936	25915624	26366358	26796375	27258387	27761728	28287855	28828870
Spain	30455000	30739250	31023366	31296651	31609195	31954292	32283194	32682947	33113134	33441054	33814531	34191678	34502705	34817071	35154338	35530725	35939437	36370050	36872506	37201123	37439035	37740556	37942805	38122429	38278575	38418817	38535617	38630820	38715849	38791473	38850435	38939049	39067745	39189400	39294967	39387017	39478186	39582413	39721108	39926268	40263216	40756001	41431558	42187645	42921895	43653155	44397319	45226803	45954106	46362946	46576897	46742697	46761264	46647421
